Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Arekere,12.8872086,77.5960493,Chavadi,12.892199385202357,77.60253756930187,BBQ Joint
Arekere,12.8872086,77.5960493,Guru Garden,12.891195684141557,77.59797874942123,Indian Restaurant
Arekere,12.8872086,77.5960493,Zhangs Dynasty,12.88992312787569,77.59780365321764,Chinese Restaurant
Arekere,12.8872086,77.5960493,Kababis,12.889604695436535,77.5975572766958,Indian Restaurant
Arekere,12.8872086,77.5960493,Pizza Hut,12.889420437838115,77.59749379520716,Pizza Place
Arekere,12.8872086,77.5960493,McDonald's,12.89141991557128,77.59855101608775,Fast Food Restaurant
Arekere,12.8872086,77.5960493,Domino's Pizza,12.885,77.604,Pizza Place
Arekere,12.8872086,77.5960493,Hot Burg,12.892201379176342,77.5983443289733,Burger Joint
Arekere,12.8872086,77.5960493,Cafe Coffee Day,12.893682385287692,77.60051250457764,Café
Arekere,12.8872086,77.5960493,Epicurys,12.885477,77.59616,Mughlai Restaurant
Arekere,12.8872086,77.5960493,Athithi Residency,12.88832663018734,77.59710769552704,Indian Restaurant
Arekere,12.8872086,77.5960493,Mast Kalandar,12.888890337225448,77.59759451664563,Indian Restaurant
Arekere,12.8872086,77.5960493,Domino's Pizza,12.89001718033533,77.59785191544118,Pizza Place
Arekere,12.8872086,77.5960493,Beijing Bites,12.8922036152216,77.59817672739175,Chinese Restaurant
Arekere,12.8872086,77.5960493,Shree Bhavan,12.88933670764948,77.59832382202148,Indian Restaurant
Arekere,12.8872086,77.5960493,Laddoos,12.8897500271746,77.59815216064453,Indian Restaurant
Arekere,12.8872086,77.5960493,Udupi Hotel,12.890364442835168,77.59394050917338,Breakfast Spot
Arekere,12.8872086,77.5960493,Paratha junction,12.891110735331178,77.59507645372086,Indian Restaurant
Arekere,12.8872086,77.5960493,Daily Bread,12.882714323075927,77.59598296284462,Bakery
Arekere,12.8872086,77.5960493,TN express,12.89115662673483,77.59851219672235,Indian Restaurant
Arekere,12.8872086,77.5960493,Empire,12.891347,77.59852,Mughlai Restaurant
Arekere,12.8872086,77.5960493,The French Loaf / Wang's Kitchen,12.891417587203453,77.59847862319252,Bakery
Arekere,12.8872086,77.5960493,Adiga Vegetarian Restaurant,12.892079089007465,77.59842826287903,Diner
Arekere,12.8872086,77.5960493,Paratha Palace,12.887486533946316,77.6015953232991,Indian Restaurant
Arekere,12.8872086,77.5960493,Adyar Anand Bhavan ( A2B ),12.89305699965435,77.59898723604057,South Indian Restaurant
Arekere,12.8872086,77.5960493,Hyderabadi Biryani House,12.89218807220459,77.59844207763672,Andhra Restaurant
Arekere,12.8872086,77.5960493,up south,12.892549571929306,77.59740986060645,Indian Restaurant
Arekere,12.8872086,77.5960493,Kabab Magic,12.882240096262503,77.59602213282785,Indian Restaurant
Arekere,12.8872086,77.5960493,Goli,12.892345728439546,77.59823801260306,Sandwich Place
Arekere,12.8872086,77.5960493,Goli Vada Pav,12.892387160654833,77.59821563019656,Fast Food Restaurant
Arekere,12.8872086,77.5960493,Accenture B2 Cafeteria,12.891522734588023,77.60014633969352,Café
Arekere,12.8872086,77.5960493,Au Bon Pain,12.894772662469633,77.59871006011963,Café
Arekere,12.8872086,77.5960493,Amrutha Kalasa,12.893411290110068,77.60194783512657,Snack Place
Banashankari,12.9152208,77.573598,Shivaji Military Hotel,12.917918586021823,77.57392499315985,Indian Restaurant
Banashankari,12.9152208,77.573598,Fluid Studio Café,12.920480387168718,77.56933987140656,Café
Banashankari,12.9152208,77.573598,Davanagere benne dosa,12.908932292982024,77.57298261081958,Breakfast Spot
Banashankari,12.9152208,77.573598,Vasudev Adiga's Foodline,12.919935069055256,77.57566943075047,South Indian Restaurant
Banashankari,12.9152208,77.573598,Prasidhi Food Corner,12.910857635645522,77.57912096790515,Indian Restaurant
Banashankari,12.9152208,77.573598,Sea Spice,12.91881431359624,77.56877353132131,Seafood Restaurant
Banashankari,12.9152208,77.573598,The Krishna Grand,12.921366752370881,77.57122480945641,Indian Restaurant
Banashankari,12.9152208,77.573598,Cafe Coffee Day,12.919996297791087,77.57553922805337,Café
Banashankari,12.9152208,77.573598,New Imperial Hotel,12.920083302220366,77.57414638118736,Indian Restaurant
Banashankari,12.9152208,77.573598,Adigas Fastfood,12.920051047232475,77.57576943980615,Fast Food Restaurant
Banashankari,12.9152208,77.573598,Pai Vista,12.921091835115892,77.57351575533141,Karnataka Restaurant
Banashankari,12.9152208,77.573598,Ande ka funda,12.911294823084637,77.57836952527556,Fast Food Restaurant
Banashankari,12.9152208,77.573598,Iyengar bakery,12.917797679238214,77.5799948797623,Bakery
Banashankari,12.9152208,77.573598,Kadamba,12.92163027446391,77.57041325803947,Indian Restaurant
Banashankari,12.9152208,77.573598,Daily Bread,12.921813050562909,77.56990299898602,Bakery
Banashankari,12.9152208,77.573598,Just Bake,12.9114669867091,77.56690949526305,Bakery
Banashankari,12.9152208,77.573598,Dine out,12.911471566733931,77.56688150950103,Fast Food Restaurant
Banashankari,12.9152208,77.573598,Bda Complex rasoi,12.922635455777638,77.57056437635961,Diner
Banashankari,12.9152208,77.573598,Student Corner,12.91039191441174,77.56678076070055,Sandwich Place
Banashankari,12.9152208,77.573598,Upahar Sagara,12.92376170330829,77.57355844974326,Restaurant
Banashankari,12.9152208,77.573598,Upahara sagar,12.923797987734961,77.57345237660485,Fast Food Restaurant
Banashankari,12.9152208,77.573598,Shastry's Bakery,12.9240426,77.57346,Bakery
Banaswadi,13.0141618,77.6518539,Tamarind,13.012676074180495,77.64771141510649,Indian Restaurant
Banaswadi,13.0141618,77.6518539,Domino's Pizza,13.008433716613306,77.65559273293411,Pizza Place
Banaswadi,13.0141618,77.6518539,Saffron,13.01276296048891,77.6478365115391,Vegetarian / Vegan Restaurant
Banaswadi,13.0141618,77.6518539,Nellore Mess,13.01949246225511,77.65604251806916,Andhra Restaurant
Banaswadi,13.0141618,77.6518539,Cafe Coffee Day,13.018155413330874,77.64732766979955,Café
Banaswadi,13.0141618,77.6518539,De Grand,13.0164213180542,77.65059661865234,BBQ Joint
Banaswadi,13.0141618,77.6518539,Leela's Kitchen,13.013746189104008,77.64876480105158,Kerala Restaurant
Banaswadi,13.0141618,77.6518539,Idli-Yo-Idli,13.01484470613433,77.65631096858783,Vegetarian / Vegan Restaurant
Banaswadi,13.0141618,77.6518539,Daily bread,13.018566355678441,77.65340272039056,Bakery
Banaswadi,13.0141618,77.6518539,Adigas,13.016117207843797,77.64737345788444,Indian Restaurant
Banaswadi,13.0141618,77.6518539,Srinidhi Upachar,13.012042149379301,77.64740279554123,Indian Restaurant
Banaswadi,13.0141618,77.6518539,Nandhini Deluxe,13.017712,77.655245,Indian Restaurant
Banaswadi,13.0141618,77.6518539,Cafe Coffee Day,13.01874852531858,77.6561991142832,Café
Banaswadi,13.0141618,77.6518539,Just kebabs,13.009668508942198,77.65449891510947,Indian Restaurant
Banaswadi,13.0141618,77.6518539,Taste of the Nation,13.010413118475226,77.64812293858114,Indian Restaurant
