Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Adambakkam,12.9822215,80.209121,Domino's Pizza,12.984,80.215,Pizza Place
Adambakkam,12.9822215,80.209121,Pizza Empire,12.984230748212887,80.21798433787713,Pizza Place
Adambakkam,12.9822215,80.209121,Mast Kalandar,12.98471496807116,80.21782093240705,Indian Restaurant
Adambakkam,12.9822215,80.209121,Deepam Restaurant,12.985379742996784,80.20528135061485,Indian Restaurant
Adambakkam,12.9822215,80.209121,simran Aapa Kadai,12.98104344608113,80.2181556862719,Indian Restaurant
Adambakkam,12.9822215,80.209121,Chapathi & Chat Shops,12.982198304421978,80.20159865537279,Indian Restaurant
Adyar,13.00645,80.2577791,Bombay Brassiere,13.006961450666138,80.25641939452001,North Indian Restaurant
Adyar,13.00645,80.2577791,Prems Graama Bhojanam,13.006344895307679,80.2539954160924,Vegetarian / Vegan Restaurant
Adyar,13.00645,80.2577791,McDonald's,13.006631783534758,80.2542552185744,Fast Food Restaurant
Adyar,13.00645,80.2577791,Daawat The Kebab Shop,13.00668911589816,80.25372793770875,North Indian Restaurant
Adyar,13.00645,80.2577791,Adyar Ananda Bhavan,13.00582370030815,80.2573684880796,Indian Restaurant
Adyar,13.00645,80.2577791,That Madras Place,13.00584830522187,80.25072615295251,Café
Adyar,13.00645,80.2577791,Anjappar,13.006756744504177,80.25071256987829,Indian Restaurant
Adyar,13.00645,80.2577791,Hotel Coronet,13.006548088295787,80.2573068994183,Indian Restaurant
Adyar,13.00645,80.2577791,Gangotree,13.007435220291622,80.2583609137314,Snack Place
Adyar,13.00645,80.2577791,Rainforest Restaurant,13.006992527660863,80.25776728989136,Indian Restaurant
Adyar,13.00645,80.2577791,Domino's Pizza,13.002,80.254,Pizza Place
Adyar,13.00645,80.2577791,Wonton,13.005046827518763,80.25169039027142,Chinese Restaurant
Adyar,13.00645,80.2577791,Zha Cafe,12.999730479462121,80.25480597391359,Café
Adyar,13.00645,80.2577791,Daawat Restaurant,13.006570996757917,80.25341956379276,Italian Restaurant
Adyar,13.00645,80.2577791,Sigree,13.00653007945677,80.25443033524475,Indian Restaurant
Adyar,13.00645,80.2577791,Buhari Hotel,13.004564601004525,80.25463753790439,Indian Restaurant
Adyar,13.00645,80.2577791,Azzuri Bay,13.011110471263487,80.25392238994345,Mediterranean Restaurant
Adyar,13.00645,80.2577791,Esthel Hotel,13.007224978150491,80.2596531577827,Indian Restaurant
Adyar,13.00645,80.2577791,Crimson Chakra,13.011109449168732,80.25389434385666,Indian Restaurant
Adyar,13.00645,80.2577791,Domino's Pizza,13.001469705712758,80.25662635633039,Pizza Place
Adyar,13.00645,80.2577791,Kumarakom,13.007008857040628,80.25394457447048,Asian Restaurant
Adyar,13.00645,80.2577791,Hotel Crescent,13.005643213332624,80.25741273696315,Indian Restaurant
Adyar,13.00645,80.2577791,Hotel runs,13.006580827870875,80.25514207285457,Indian Restaurant
Adyar,13.00645,80.2577791,Grand Sweets & Snacks,13.000949514688307,80.26120335706521,Diner
Adyar,13.00645,80.2577791,Kozhi Idli,13.00991502008927,80.25189506980747,Comfort Food Restaurant
Adyar,13.00645,80.2577791,Sangeetha Restaurant,13.00684739911933,80.24999936522953,Indian Restaurant
Adyar,13.00645,80.2577791,Animal Kingdom,13.007603066723602,80.25839904532378,Indian Restaurant
