Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Abids,17.3894783,78.477182,Pragati,17.38808781386729,78.48113363131787,South Indian Restaurant
Abids,17.3894783,78.477182,Santosh Dhaba,17.38848471244846,78.47950940403636,Indian Restaurant
Abids,17.3894783,78.477182,Grand Hotel,17.387760162353516,78.47757720947266,Indian Restaurant
Abids,17.3894783,78.477182,Karachi Bakery,17.3834537388159,78.47507545116785,Bakery
Abids,17.3894783,78.477182,Santosh Dabha,17.39120903352958,78.47757537606057,Diner
Abids,17.3894783,78.477182,Ram ki Bandi,17.3823977318067,78.4750140745617,Food Truck
Abids,17.3894783,78.477182,Gokul Chat Center,17.384716084990487,78.48315238952637,Chaat Place
Abids,17.3894783,78.477182,Papaji Ka Dhaba,17.388417891765517,78.47925741384874,Indian Restaurant
Abids,17.3894783,78.477182,KFC,17.394870343291796,78.4759020737125,Fast Food Restaurant
Abids,17.3894783,78.477182,McDonald's,17.393120347557602,78.47607481637485,Fast Food Restaurant
Abids,17.3894783,78.477182,Chutney’s,17.391227,78.476393,Indian Restaurant
Abids,17.3894783,78.477182,Hotel Luminous One Continent,17.392396213647658,78.47760035056109,Indian Restaurant
Abids,17.3894783,78.477182,Al-Yousufain Fast Food Center,17.391338386023726,78.47014659195041,Fried Chicken Joint
Abids,17.3894783,78.477182,Agrawala Bakers And Restaurant,17.38653180008176,78.4760130730629,Snack Place
Abids,17.3894783,78.477182,Krupa Mess & Tiffins,17.38636058911431,78.47615278937235,Breakfast Spot
Abids,17.3894783,78.477182,"Royal Tiffin Centre, Bogulkunta",17.389938157072205,78.48117440945806,Breakfast Spot
Abids,17.3894783,78.477182,Swad tiffins,17.394467911547217,78.47661246746806,Indian Restaurant
Abids,17.3894783,78.477182,Poptoad,17.39498201916391,78.47347670775972,Bakery
Abids,17.3894783,78.477182,Al Saud Bait Al Mandi,17.394491054098893,78.48436542760939,Middle Eastern Restaurant
Alwal,17.5022292,78.5088584,Ganesh Bakery,17.499620459736924,78.51112164873018,Bakery
Alwal,17.5022292,78.5088584,Lal Bawarchi,17.499474276329867,78.51279159839777,Indian Restaurant
Alwal,17.5022292,78.5088584,Aahar,17.50751956688662,78.50940728647178,Indian Restaurant
Alwal,17.5022292,78.5088584,sri thirumala bakery,17.49935240605239,78.50384234501207,Bakery
Alwal,17.5022292,78.5088584,Rachera Food Court,17.49610068166844,78.50789263167918,Chinese Restaurant
Alwal,17.5022292,78.5088584,Aahar,17.50803354332452,78.50401434676697,Indian Restaurant
Alwal,17.5022292,78.5088584,Biryani Mahal,17.494751829173403,78.51295248910893,Indian Restaurant
Alwal,17.5022292,78.5088584,Nartaki Tiffins,17.494282752393993,78.51260296758439,Breakfast Spot
"Ameerpet, Hyderabad",17.4375012,78.4482505,Kakatiya Deluxe Mess,17.43343498288722,78.44709027868556,Diner
"Ameerpet, Hyderabad",17.4375012,78.4482505,Mekong,17.437151274600346,78.45430121130967,Chinese Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Blue Fox,17.437054394233186,78.44591210514756,Indian Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Kritunga Restaurant,17.438082737140608,78.44289661694181,Indian Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Chopsticks,17.429909797696908,78.44567364201872,Chinese Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Minerva Coffee Shop,17.43729470969034,78.44607353210449,Indian Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Country Oven,17.435939018485147,78.45326347082846,Bakery
"Ameerpet, Hyderabad",17.4375012,78.4482505,Santosh Dhaba,17.439442049412662,78.44825947961927,Vegetarian / Vegan Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Domino's Pizza,17.4418192525152,78.44616470262514,Pizza Place
"Ameerpet, Hyderabad",17.4375012,78.4482505,Café Coffee Day,17.437444876040374,78.44087575523511,Café
"Ameerpet, Hyderabad",17.4375012,78.4482505,Rayalaseema Ruchulu,17.432852886801484,78.44673135238882,Indian Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Viva italia,17.435747858562056,78.45663489094625,Pizza Place
"Ameerpet, Hyderabad",17.4375012,78.4482505,Cafe Coffee Day,17.436120000064342,78.45703931511622,Café
"Ameerpet, Hyderabad",17.4375012,78.4482505,Tibbs Frankies,17.436067883038188,78.45652349188089,Sandwich Place
"Ameerpet, Hyderabad",17.4375012,78.4482505,Sher-e-Punjab Dhaba,17.438454224287543,78.4522620128154,Indian Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Deli 9 Begumpet,17.436117736113555,78.4567362265203,Deli / Bodega
"Ameerpet, Hyderabad",17.4375012,78.4482505,Cafe Coffee Day @ Hyderabad Central,17.430199456072337,78.44884238254423,Café
"Ameerpet, Hyderabad",17.4375012,78.4482505,Subway,17.441700972844686,78.4469942295469,Sandwich Place
"Ameerpet, Hyderabad",17.4375012,78.4482505,Amoga Tiffin Center,17.43777106080051,78.44820951635691,Buffet
"Ameerpet, Hyderabad",17.4375012,78.4482505,Greenland Restaurant,17.443589418986605,78.44916991701638,Indian Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,eatworld,17.438239552693478,78.45008034631265,Fast Food Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Haveli,17.43660259838764,78.4570359807387,Indian Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Deli9,17.436049866032956,78.45708398049355,Deli / Bodega
"Ameerpet, Hyderabad",17.4375012,78.4482505,Shriji Rasoi,17.43585551928257,78.451173961037,Fast Food Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Walk 'n' Eat,17.441151715660492,78.4485592586811,Food Court
"Ameerpet, Hyderabad",17.4375012,78.4482505,Naivedyam,17.43542544070908,78.45192893696952,Indian Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Taj Mahal Delite,17.44171297468362,78.44651630249001,Indian Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Sitara Restaurent,17.431068896932356,78.44824282520119,Indian Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Just Bake,17.445300465250302,78.44656127016175,Bakery
"Ameerpet, Hyderabad",17.4375012,78.4482505,Swagath,17.43266913655031,78.44698818458002,Indian Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Cafe Coffee Day,17.441696283629994,78.44697966097097,Café
"Ameerpet, Hyderabad",17.4375012,78.4482505,Saffron Soul,17.437061785342323,78.4544269793751,Indian Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Hotel Udipi Home,17.442329994295882,78.4432497084352,Breakfast Spot
"Ameerpet, Hyderabad",17.4375012,78.4482505,Flyover Bakery,17.435501964773444,78.4548988249783,Indian Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,Mouryas Tiffen Centre,17.43756420398642,78.44057595367302,Breakfast Spot
"Ameerpet, Hyderabad",17.4375012,78.4482505,pondy parottas,17.439912,78.440578,South Indian Restaurant
"Ameerpet, Hyderabad",17.4375012,78.4482505,almas bakery,17.442597630700448,78.44141983730997,Bakery
"Ameerpet, Hyderabad",17.4375012,78.4482505,Roll Call,17.435857971007707,78.45718030653036,Indian Restaurant
"Bandlaguda, Rangareddy",17.3644948,78.5895843,Open Bar & Restro,17.363635,78.595526,Chinese Restaurant
"Bandlaguda, Rangareddy",17.3644948,78.5895843,Taaza Tiffins,17.366989,78.580582,Breakfast Spot
Banjara Hills,17.4177464,78.4399014,Guilt Trip,17.41740061095305,78.44321896565191,Deli / Bodega
Banjara Hills,17.4177464,78.4399014,Ofen,17.41580614660786,78.44303880127819,Bakery
Banjara Hills,17.4177464,78.4399014,Cafe Cubano,17.416989674400863,78.44282448838824,Café
Banjara Hills,17.4177464,78.4399014,Mamagoto,17.41040809099265,78.43734024348403,Asian Restaurant
Banjara Hills,17.4177464,78.4399014,Zafraan Exotica,17.41032532519568,78.4372992545256,Indian Restaurant
Banjara Hills,17.4177464,78.4399014,Hard Rock Cafe Hyderabad,17.419399617919183,78.44853258395597,American Restaurant
Banjara Hills,17.4177464,78.4399014,Ziti,17.424055055440416,78.43887150959745,Restaurant
Banjara Hills,17.4177464,78.4399014,WOFL,17.42494441549373,78.43814816597407,Breakfast Spot
Banjara Hills,17.4177464,78.4399014,The Lounge (CCD),17.414837386258828,78.4480484145704,Café
Banjara Hills,17.4177464,78.4399014,Subway,17.41485023498535,78.43824768066406,Sandwich Place
Banjara Hills,17.4177464,78.4399014,Khan Saab,17.41866507922024,78.44842792269989,Indian Restaurant
Banjara Hills,17.4177464,78.4399014,Ohri's Ruci & Idoni,17.414935944733152,78.44755324062572,Italian Restaurant
Banjara Hills,17.4177464,78.4399014,Cafe Coffee Day,17.416257882446406,78.44805568663956,Café
Banjara Hills,17.4177464,78.4399014,Burger King,17.418703294063974,78.44835237419746,Fast Food Restaurant
Banjara Hills,17.4177464,78.4399014,Mozzarella,17.410392198176933,78.4373972586419,Italian Restaurant
Banjara Hills,17.4177464,78.4399014,Papa John's,17.410006322600694,78.43767454587018,Pizza Place
Banjara Hills,17.4177464,78.4399014,Rajdhani,17.426479112177216,78.4382998852206,Rajasthani Restaurant
Banjara Hills,17.4177464,78.4399014,Rock Castle Restaurant,17.42095531280431,78.4422581621956,Indian Restaurant
Banjara Hills,17.4177464,78.4399014,Cafe Coffee Day,17.416277316359054,78.44806891252439,Café
Banjara Hills,17.4177464,78.4399014,Shadab Restaurant,17.425744701700108,78.43807652333173,Diner
Banjara Hills,17.4177464,78.4399014,Papa John's Pizza,17.418441724282157,78.44853769113344,Pizza Place
Banjara Hills,17.4177464,78.4399014,Cafe 4resta,17.422932311987907,78.43884209369686,Café
