Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Aarey Milk Colony,19.1561292,72.8707223,Aarey Garden Restaurant,19.15551434258381,72.87823613224917,Indian Restaurant
Aarey Milk Colony,19.1561292,72.8707223,Panchvati Fast Food Corner,19.15762809596761,72.87450648963448,Fast Food Restaurant
Aarey Milk Colony,19.1561292,72.8707223,Shree Ganesh Restaurant,19.1575984954834,72.87452697753906,Chinese Restaurant
Aarey Milk Colony,19.1561292,72.8707223,Panchavati Fast Food Corner,19.1577091217041,72.87651062011719,Café
Aarey Milk Colony,19.1561292,72.8707223,Subway,19.158621853600074,72.87665252476813,Sandwich Place
Aarey Milk Colony,19.1561292,72.8707223,Shree Krishna Tea Stall,19.150573554127163,72.87598333306326,Café
Aarey Milk Colony,19.1561292,72.8707223,Aasvad Stall,19.15403175354004,72.87877655029297,Snack Place
Aarey Milk Colony,19.1561292,72.8707223,Aarey Garden Restaurant,19.16420796547828,72.8746622508909,Indian Restaurant
Andheri,19.1196976,72.8464205,Merwans Cake shop,19.119300215885474,72.84541776016009,Bakery
Andheri,19.1196976,72.8464205,Narayan Sandwich,19.121397691078766,72.85027035501028,Sandwich Place
Andheri,19.1196976,72.8464205,Radha Krishna Veg Restaurant,19.115130144160013,72.84305962889206,Indian Restaurant
Andheri,19.1196976,72.8464205,Shawarma Factory,19.124590572173467,72.8403981304492,Falafel Restaurant
Andheri,19.1196976,72.8464205,Cafe Alfa,19.119666991815816,72.84355993227075,Indian Restaurant
Andheri,19.1196976,72.8464205,McDonald's,19.119691210789103,72.84610244862697,Fast Food Restaurant
Andheri,19.1196976,72.8464205,Domino's Pizza,19.11449,72.85015,Pizza Place
Andheri,19.1196976,72.8464205,Vaibhav Restaurant,19.11823509883163,72.84799100142833,Indian Restaurant
Andheri,19.1196976,72.8464205,Sarvodaya Veg. Restaurant,19.12375959553322,72.85089307715918,Indian Restaurant
Andheri,19.1196976,72.8464205,Radha Krishna (RK),19.114568413459992,72.8427579462815,Vegetarian / Vegan Restaurant
